ID,Flood depth RP 30000,Flood depth RP 3000,Flood depth RP 300,Flood depth RP 30,Flood depth RP 10,area,Property_value:income
1126926,2.29237484931946,2.0324375629425,1.73992502689362,0,0,43.9750586016244,32.2453166271366
1126954,0,0,0,0,0,15.5335468230141,11.3901868827081
1126957,0,0,0,0,0,45.5908233756532,33.4300983736607
1126958,0,0,0,0,0,16.5268512587456,12.1185410238011
1127000,2.40705466270447,2.14715480804443,1.85448122024536,0,0,10.7480636462819,7.88116551572201
1127030,2.55489993095398,2.29690003395081,2.00710010528564,0,0,49.1894308987337,36.0688268413072
1127033,2.28572487831116,2.02581262588501,1.73337507247925,0,0,43.500971398005,31.8976856636837
1127049,0,0,0,0,0,10.3576736549617,7.59490668450079
1127051,0,0,0,0,0,7.57509312218185,5.55454123251073
1127056,0,0,0,0,0,6.15812589677907,4.51553052311511
1127080,2.41033744812012,2.15057492256165,1.85815000534058,0,0,16.667614928327,12.2217579208238
1127091,0,0,0,0,0,6.15449981807505,4.51287165102615
1127144,0,0,0,0,0,29.3794143450046,21.5428597027388
1127205,0,0,0,0,0,6.19369416011415,4.54161144147174
1127214,0,0,0,0,0,21.4742673298932,15.7463019131168
1127215,0,0,0,0,0,15.4669404575689,11.3413468490286
1127229,0,0,0,0,0,10.0888511967567,7.3977889191822
1127252,0,0,0,0,0,24.4383852749822,17.9197821698558
1127257,0,0,0,0,0,27.378453656386,20.0756277532042
1127273,0,0,0,0,0,6.17393864068836,4.52712543510188
1127295,0,0,0,0,0,6.15467014175259,4.51299654320563
1127309,0,0,0,0,0,28.4140321930026,20.8349799602808
1127364,0,0,0,0,0,6.93596766205633,5.08589369725877
1127430,1.99746251106262,1.73616242408752,1.44116246700287,0,0,37.8452525656514,27.7505520315169
1127433,0,0,0,0,0,6.21671771102764,4.558493776884
1127434,0,0,0,0,0,17.490777227231,12.8253529996647
1127435,0,0,0,0,0,14.4971261156123,10.6302171423185
1127454,2.43819999694824,2.17919993400574,1.88789999485016,0,0,19.150432442685,14.0423180161074
1127465,1.83329999446869,1.57280004024506,1.27900004386902,0,0,26.7784778105502,19.6356872111603
1127506,2.28239989280701,2.02250003814697,1.73010003566742,0,0,6.66959213168292,4.89057017543191
1127507,2.56177496910095,2.25853753089905,1.86653757095337,0,0,14.6981217331707,10.7775999437276
1127613,0,0,0,0,0,16.315475377019,11.9635467509029
1127632,2.30900001525879,2.04900002479553,1.75629997253418,0,0,55.6723464431033,40.8225138412253
1127635,0,0,0,0,0,6.14940202993539,4.50913362774913
1127653,0,0,0,0,0,6.67333649811588,4.89331578362523
1127662,2.36696100234985,2.05421710014343,1.64221560955048,0,0,24.8438289849062,18.2170793473176
1127670,0,0,0,0,0,6.76554121518256,4.96092616075435
1127694,2.28406238555908,2.02415633201599,1.73173761367798,0,0,42.8695597390845,31.434694379274
1127703,0,0,0,0,0,8.5201673674326,6.24752992299395
1127713,0,0,0,0,0,40.0916895631406,29.3977828612281
